key,status,file_defined,line_defined,family,first_usage_location
TrailerMuteToggleScaleStyle,USED,DefaultControls\ToggleButton.xaml,944,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\GameDetails.xaml:868
TrailerMuteZoomToggle,USED,DefaultControls\ToggleButton.xaml,765,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\GameDetails.xaml:1872
TrailerOnDetailsView,UNUSED?,Constants.xaml,34,,
TrailerOnMainView,UNUSED?,Constants.xaml,33,,
TrailerPlayToggle,UNUSED?,DefaultControls\ToggleButton.xaml,612,,
TrailerZoomToggle,USED,DefaultControls\ToggleButton.xaml,691,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\GameDetails.xaml:1871
TrophViewButton,USED,DefaultControls\ToggleButton.xaml,61,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\Main.xaml:5311
Trophy1,FAMILY_INDEXED? (check),Constants.xaml,684,Trophy,
Trophy10,FAMILY_INDEXED? (check),Constants.xaml,693,Trophy1,
Trophy11,FAMILY_INDEXED? (check),Constants.xaml,694,Trophy1,
Trophy12,FAMILY_INDEXED? (check),Constants.xaml,695,Trophy1,
Trophy13,FAMILY_INDEXED? (check),Constants.xaml,696,Trophy1,
Trophy14,FAMILY_INDEXED? (check),Constants.xaml,697,Trophy1,
Trophy15,FAMILY_INDEXED? (check),Constants.xaml,698,Trophy1,
Trophy16,FAMILY_INDEXED? (check),Constants.xaml,699,Trophy1,
Trophy17,FAMILY_INDEXED? (check),Constants.xaml,700,Trophy1,
Trophy18,FAMILY_INDEXED? (check),Constants.xaml,701,Trophy1,
Trophy19,FAMILY_INDEXED? (check),Constants.xaml,702,Trophy1,
Trophy2,FAMILY_INDEXED? (check),Constants.xaml,685,Trophy,
Trophy20,UNUSED?,Constants.xaml,703,Trophy2,
Trophy3,FAMILY_INDEXED? (check),Constants.xaml,686,Trophy,
Trophy4,FAMILY_INDEXED? (check),Constants.xaml,687,Trophy,
Trophy5,FAMILY_INDEXED? (check),Constants.xaml,688,Trophy,
Trophy6,FAMILY_INDEXED? (check),Constants.xaml,689,Trophy,
Trophy7,FAMILY_INDEXED? (check),Constants.xaml,690,Trophy,
Trophy8,FAMILY_INDEXED? (check),Constants.xaml,691,Trophy,
Trophy9,FAMILY_INDEXED? (check),Constants.xaml,692,Trophy,
UseAbsoluteExtraMetadataPath,USED,Constants.xaml,11,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\GameDetails.xaml:2042
UserName,USED,Constants.xaml,56,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\ToggleButton.xaml:1372
VisibleOff,USED,Media.xaml,118,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Media.xaml:138
VisibleOn,USED,Media.xaml,114,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Media.xaml:135
VolumerButtonMain,USED,DefaultControls\CheckBox.xaml,442,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1271
WarningBrush,UNUSED?,Images\Interface\1-Default\Constants.xaml,545,,
WhiteColor,UNUSED?,Constants.xaml,62,,
WrongButton,UNUSED?,DefaultControls\Button.xaml,132,,
WrongChangeToggle,USED,DefaultControls\ToggleButton.xaml,1431,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:5095
{x:Static SystemParameters.VerticalScrollBarButtonHeightKey},UNUSED?,DefaultControls\ScrollViewer.xaml,54,,
